gene,p_value,log2FC,p_adjusted
200795_at,7.950321950112642e-24,-1.8744389122952958,4.346838526224087e-19
201291_s_at,8.166686229331725e-16,1.2528223859292162,1.1378902774506337e-11
204822_at,1.211480618083513e-15,1.1463036647891887,1.1378902774506337e-11
218542_at,6.400283137195746e-16,1.3216794677790626,1.1378902774506337e-11
203764_at,2.220672070586709e-15,1.3014545254651118,1.5328126768687984e-11
225687_at,2.2427986127024027e-15,1.2466643125269212,1.5328126768687984e-11
222608_s_at,2.6298861955444553e-15,1.3257134696133994,1.5976558637932564e-11
204444_at,2.9420263709513146e-15,1.1695496331001816,1.6085529183176313e-11
200986_at,5.164384832438431e-15,-1.1922459360309905,2.172021082412086e-11
219978_s_at,6.587552992027165e-15,1.1365725274042844,2.4011630655939014e-11
1552619_a_at,9.920218397067276e-15,1.196051055246922,2.8546733729455436e-11
219918_s_at,1.3059481132566397e-14,1.1352157437818773,3.312148248645888e-11
222680_s_at,1.458769985390701e-14,1.0277964069976184,3.323260372968191e-11
204825_at,1.841074351780485e-14,1.0248916132879398,3.728175562355482e-11
223381_at,1.7798913738478783e-14,1.1960639653320861,3.728175562355482e-11
210559_s_at,2.027441520124582e-14,1.1664579450758763,3.95894161117184e-11
222740_at,2.4157417945168486e-14,1.118688407268275,4.554506297076162e-11
209642_at,2.52482614493479e-14,1.0586486548189737,4.601495649143655e-11
223229_at,3.2027829016772006e-14,1.0420919484913929,5.472254848412529e-11
210052_s_at,3.80022849417364e-14,1.053207540245408,6.111102732910111e-11
219148_at,5.235955093412519e-14,1.2076456353880483,6.657577784472778e-11
218663_at,6.53993936253129e-14,1.1019446821143672,8.126617832872689e-11
204709_s_at,7.40623132545272e-14,1.2531827039694883,8.998571060425055e-11
204719_at,7.659485143424277e-14,-1.4173116471376959,9.103964135146137e-11
209047_at,8.80041971886402e-14,-1.1880653008297029,1.0005982817281312e-10
209714_s_at,8.967410298066471e-14,1.1570496551258243,1.0005982817281312e-10
209464_at,1.3946622381069553e-13,1.006028683157867,1.3616635333660317e-10
209773_s_at,1.4812030900564957e-13,1.3524184570743016,1.372623372014219e-10
214710_s_at,1.4789905204198807e-13,1.0044474312546792,1.372623372014219e-10
236641_at,2.090405182782186e-13,1.1375168995843643,1.7317106571002425e-10
213562_s_at,2.6290720808968214e-13,1.0528364278450841,2.0245706482117425e-10
1555758_a_at,2.867344317876555e-13,1.189519274790719,2.0360006568818266e-10
203362_s_at,3.0211060186082e-13,1.047812165969673,2.1176791226590172e-10
201292_at,4.211386726491139e-13,1.2288941839093277,2.7411615389393215e-10
232278_s_at,4.892740376682933e-13,1.0303657548526046,3.0398929556265835e-10
204162_at,7.014907643805815e-13,1.1953001638126055,3.995209119011281e-10
208982_at,7.172738511264497e-13,-1.0571230931746025,4.0429843103441895e-10
223235_s_at,8.362230149534234e-13,-1.0980889047585007,4.517732354557349e-10
203418_at,1.1237198242513132e-12,1.1737360845632132,5.437113397428366e-10
228827_at,1.1115286599376952e-12,-1.2308360316612255,5.437113397428366e-10
200730_s_at,1.6326764866586954e-12,1.0269564148810453,7.028865110871194e-10
209335_at,2.6621394210200195e-12,-1.2508830029596159,9.562857114693314e-10
1554768_a_at,3.3655020498499072e-12,1.0161701490401123,1.1572882048776331e-09
203083_at,3.9215981753030085e-12,-1.0478740697195044,1.299475031725406e-09
203032_s_at,3.998642492739009e-12,1.0623546454572776,1.3170227607861766e-09
218755_at,4.3619894896041974e-12,1.0005731209258986,1.4280944631383803e-09
220238_s_at,6.641074360948165e-12,1.131415146088939,1.9627067064045455e-09
213599_at,7.135978018734764e-12,1.0287663618787652,2.086414963499055e-09
218039_at,9.481361552321053e-12,1.0673547593984223,2.5452725502544716e-09
203214_x_at,1.0648629208972265e-11,1.02643785320308,2.7563072066772508e-09
201890_at,1.6783056222444682e-11,1.1034990982098543,3.791791731248607e-09
217757_at,4.0651239966098644e-11,-1.2840237209680583,7.355439426220958e-09
1558828_s_at,4.5202594814442284e-11,-1.3613072648388331,7.972425391869781e-09
218009_s_at,4.951842308033719e-11,1.0100793021113337,8.567784119991885e-09
227006_at,5.1879837816464154e-11,-1.0022487752921017,8.798959206532323e-09
211990_at,1.2973536525371893e-10,-1.121324684766917,1.721670168749292e-08
213994_s_at,1.4118006805873382e-10,-1.2422507444671884,1.8162400520261817e-08
205200_at,1.4221820234200629e-10,-1.062756232488591,1.8220576277570975e-08
217678_at,1.4566053162165717e-10,1.026246223433125,1.8564078243389523e-08
208498_s_at,1.5538148507605438e-10,-1.081234451824012,1.938299538623178e-08
206481_s_at,1.5682239653576894e-10,-1.1939002489904795,1.944277671336319e-08
232584_at,1.779412833553167e-10,-1.0210481417408226,2.1656104088355766e-08
223700_at,2.2957670662124862e-10,1.1074617379505336,2.582737949489047e-08
1553602_at,3.7352810401883143e-10,-1.0799969975595352,3.666543821764741e-08
232458_at,4.847960792540783e-10,-1.0973009559287923,4.500208087133571e-08
203980_at,6.9484605762805e-10,-1.646202785158971,5.7824517809457585e-08
235489_at,1.0239883932219745e-09,-1.0139331017327884,7.711648126640697e-08
222848_at,1.0487150685971882e-09,1.068069476843216,7.854588544596062e-08
202283_at,1.5030055500347513e-09,-1.1109983004538058,1.0297848176459903e-07
227662_at,2.463679772777793e-09,-1.1187678482011794,1.4818667940222863e-07
221748_s_at,2.5021878858361092e-09,-1.0915155729144432,1.5000780993211542e-07
223044_at,2.523188748997935e-09,-1.269965995943479,1.5060627167190184e-07
226492_at,2.533671139736484e-09,-1.0604114977143762,1.5079301271084597e-07
226677_at,2.897872068134897e-09,-1.0987946255801053,1.6503545997919088e-07
201893_x_at,4.256821932932928e-09,-1.0303038903079924,2.1874223607434945e-07
218782_s_at,4.457251655173073e-09,1.0075710598859375,2.2564836504313683e-07
210732_s_at,4.660200695183947e-09,1.055124480911468,2.3269084293076013e-07
211896_s_at,5.119373375354575e-09,-1.1689674830416499,2.492446476380333e-07
219087_at,5.144782610837109e-09,-1.0864737643067335,2.5025888723088875e-07
218232_at,5.36129834369384e-09,-1.030591347073802,2.5849117014238157e-07
209891_at,5.445610326474572e-09,1.1411516829203896,2.614036388059677e-07
238481_at,6.036879134719431e-09,-1.2316750677731367,2.831203442525698e-07
223122_s_at,6.844701368598655e-09,-1.1060078410789214,3.0727080854144023e-07
218002_s_at,9.124773290011686e-09,-1.1093482771605607,3.7910104835211926e-07
229128_s_at,9.450910248528644e-09,1.1495657734798213,3.8910279957703585e-07
237339_at,1.0450760481578886e-08,-1.3444221153044964,4.1891153176710086e-07
204273_at,1.2148718527469561e-08,-1.1111759149341032,4.6908982026087446e-07
209392_at,1.3575838541351459e-08,-1.1191894095295396,5.097932501705982e-07
209687_at,1.7573464245429918e-08,-1.1220374474019275,6.198897791089553e-07
202746_at,1.897444961581577e-08,-1.2435815437281876,6.566000207245109e-07
223623_at,2.1190298405134726e-08,-1.2760169216426243,7.173867277403969e-07
221796_at,2.3645440998018988e-08,-1.0031604563052006,7.788039075702941e-07
222484_s_at,2.4766436789444065e-08,-1.0594290883934439,8.071457871596823e-07
209763_at,2.5891228431626976e-08,-1.0582748333084357,8.322180567308672e-07
202112_at,2.860457357598058e-08,-1.0716521659013896,8.977928015308486e-07
227265_at,2.879393433206907e-08,-1.1654056036855822,9.022473211568578e-07
231597_x_at,3.55409129586824e-08,-1.1324166834246587,1.06156871506116e-06
229218_at,3.70551794812962e-08,-1.0358149172797624,1.0951307773729027e-06
227705_at,3.8306988943044e-08,-1.108407423181661,1.1242268494154217e-06
211726_s_at,3.9663452385043775e-08,-1.0951154853330998,1.1531160717075194e-06
218353_at,4.571837415336796e-08,-1.018213065501551,1.2851681783215388e-06
228750_at,5.655313163658835e-08,-1.0099158656631981,1.5276889684933141e-06
